frame_index,radial_bin,radius_pixels,ground_truth_radial_profile,reconstruction_radial_profile,pixel_count
0,0,0.12109375,,,0
0,1,0.36328125,,,0
0,2,0.60546875,0.0038461538461538464,0.00392156862745098,4
0,3,0.84765625,,,0
0,4,1.08984375,,,0
0,5,1.33203125,,,0
0,6,1.57421875,0.0019230769230769232,0.006862745098039216,8
0,7,1.81640625,,,0
0,8,2.05859375,0.009615384615384616,0.026470588235294117,4
0,9,2.30078125,,,0
0,10,2.54296875,0.07884615384615384,0.0803921568627451,8
0,11,2.78515625,,,0
0,12,3.02734375,0.18653846153846157,0.13186274509803922,8
0,13,3.26953125,,,0
0,14,3.51171875,0.3852564102564102,0.23758169934640527,12
0,15,3.75390625,0.40576923076923077,0.2882352941176471,8
0,16,3.99609375,,,0
0,17,4.23828125,0.40576923076923077,0.367156862745098,8
0,18,4.48046875,0.3519230769230769,0.3715686274509804,8
0,19,4.72265625,0.3634615384615385,0.3892156862745098,8
0,20,4.96484375,0.3807692307692308,0.4,4
0,21,5.20703125,0.36538461538461536,0.37401960784313726,8
0,22,5.44921875,0.30192307692307696,0.3465686274509804,8
0,23,5.69140625,0.2980769230769231,0.32328431372549016,16
0,24,5.93359375,0.2673076923076923,0.26127450980392153,8
0,25,6.17578125,,,0
0,26,6.41796875,0.22999999999999993,0.2033333333333333,20
0,27,6.66015625,0.2451923076923077,0.20833333333333331,8
0,28,6.90234375,0.20096153846153847,0.15784313725490196,8
0,29,7.14453125,0.15192307692307694,0.11078431372549019,8
0,30,7.38671875,0.15961538461538463,0.11176470588235296,8
0,31,7.62890625,0.2173076923076923,0.1411764705882353,16
0,32,7.87109375,0.1469230769230769,0.09176470588235294,20
0,33,8.11328125,,,0
0,34,8.35546875,0.14423076923076922,0.08333333333333333,8
0,35,8.59765625,0.10705128205128206,0.0861111111111111,24
0,36,8.83984375,0.09855769230769232,0.0801470588235294,16
0,37,9.08203125,0.07435897435897436,0.07254901960784314,12
0,38,9.32421875,0.06634615384615385,0.06911764705882353,8
0,39,9.56640625,0.05608974358974359,0.05669934640522876,24
0,40,9.80859375,0.04807692307692308,0.06151960784313726,16
0,41,10.05078125,0.04567307692307693,0.04975490196078432,16
0,42,10.29296875,,,0
0,43,10.53515625,0.03571428571428572,0.03263305322128852,28
0,44,10.77734375,0.03461538461538462,0.031127450980392157,16
0,45,11.01953125,0.027403846153846154,0.024509803921568627,16
0,46,11.26171875,0.02980769230769231,0.030882352941176472,8
0,47,11.50390625,0.021634615384615384,0.018627450980392157,32
0,48,11.74609375,0.01971153846153846,0.013725490196078431,16
0,49,11.98828125,0.018461538461538467,0.015882352941176466,20
0,50,12.23046875,0.01682692307692308,0.012254901960784314,16
0,51,12.47265625,0.014423076923076924,0.019362745098039216,16
0,52,12.71484375,0.013141025641025641,0.012745098039215688,24
0,53,12.95703125,0.010576923076923078,0.01053921568627451,16
0,54,13.19921875,0.009615384615384616,0.007598039215686274,16
0,55,13.44140625,0.008846153846153847,0.009411764705882352,20
0,56,13.68359375,0.007932692307692307,0.007230392156862745,32
0,57,13.92578125,0.006730769230769231,0.005392156862745098,8
0,58,14.16796875,0.00608974358974359,0.006535947712418301,24
0,59,14.41015625,0.0057692307692307696,0.004166666666666667,16
0,60,14.65234375,0.005048076923076923,0.0031862745098039215,32
0,61,14.89453125,0.0038461538461538464,0.0035014005602240898,28
0,62,15.13671875,0.0028846153846153848,0.0024509803921568627,16
0,63,15.37890625,0.0009615384615384616,0.0024509803921568627,8
1,0,0.12109375,,,0
1,1,0.36328125,,,0
1,2,0.60546875,0.002976190476190476,0.00784313725490196,4
1,3,0.84765625,,,0
1,4,1.08984375,,,0
1,5,1.33203125,,,0
1,6,1.57421875,0.002232142857142857,0.012745098039215686,8
1,7,1.81640625,,,0
1,8,2.05859375,0.02232142857142857,0.03333333333333333,4
1,9,2.30078125,,,0
1,10,2.54296875,0.06994047619047619,0.08137254901960785,8
1,11,2.78515625,,,0
1,12,3.02734375,0.16741071428571427,0.12745098039215685,8
1,13,3.26953125,,,0
1,14,3.51171875,0.2797619047619048,0.23202614379084963,12
1,15,3.75390625,0.29389880952380953,0.27794117647058825,8
1,16,3.99609375,,,0
1,17,4.23828125,0.26264880952380953,0.3446078431372549,8
1,18,4.48046875,0.31547619047619047,0.35196078431372546,8
1,19,4.72265625,0.30208333333333337,0.36470588235294116,8
1,20,4.96484375,0.3110119047619047,0.36176470588235293,4
1,21,5.20703125,0.31770833333333337,0.346078431372549,8
1,22,5.44921875,0.20014880952380953,0.3348039215686275,8
1,23,5.69140625,0.26153273809523814,0.3,16
1,24,5.93359375,0.23958333333333334,0.24362745098039215,8
1,25,6.17578125,,,0
1,26,6.41796875,0.1800595238095238,0.18666666666666668,20
1,27,6.66015625,0.20386904761904762,0.1931372549019608,8
1,28,6.90234375,0.1607142857142857,0.14705882352941174,8
1,29,7.14453125,0.10044642857142858,0.09019607843137255,8
1,30,7.38671875,0.11086309523809525,0.09803921568627451,8
1,31,7.62890625,0.19308035714285715,0.14313725490196078,16
1,32,7.87109375,0.10297619047619047,0.0811764705882353,20
1,33,8.11328125,,,0
1,34,8.35546875,0.09077380952380953,0.0769607843137255,8
1,35,8.59765625,0.08382936507936507,0.09052287581699348,24
1,36,8.83984375,0.07366071428571429,0.0769607843137255,16
1,37,9.08203125,0.058035714285714295,0.06830065359477124,12
1,38,9.32421875,0.04836309523809524,0.060784313725490195,8
1,39,9.56640625,0.04464285714285715,0.06715686274509804,24
1,40,9.80859375,0.04092261904761905,0.06568627450980391,16
1,41,10.05078125,0.03645833333333333,0.05220588235294118,16
1,42,10.29296875,,,0
1,43,10.53515625,0.0274234693877551,0.039915966386554626,28
1,44,10.77734375,0.026413690476190476,0.03700980392156863,16
1,45,11.01953125,0.023809523809523808,0.028431372549019607,16
1,46,11.26171875,0.023065476190476185,0.03382352941176471,8
1,47,11.50390625,0.01711309523809524,0.020588235294117643,32
1,48,11.74609375,0.01488095238095238,0.014950980392156862,16
1,49,11.98828125,0.01726190476190476,0.016274509803921568,20
1,50,12.23046875,0.012276785714285714,0.011764705882352941,16
1,51,12.47265625,0.010416666666666666,0.01568627450980392,16
1,52,12.71484375,0.011160714285714286,0.011928104575163398,24
1,53,12.95703125,0.010416666666666666,0.01053921568627451,16
1,54,13.19921875,0.0078125,0.007598039215686274,16
1,55,13.44140625,0.008333333333333335,0.009999999999999998,20
1,56,13.68359375,0.005952380952380952,0.007720588235294117,32
1,57,13.92578125,0.005952380952380952,0.008333333333333333,8
1,58,14.16796875,0.00496031746031746,0.006862745098039216,24
1,59,14.41015625,0.004092261904761904,0.006372549019607843,16
1,60,14.65234375,0.0039062499999999996,0.005637254901960784,32
1,61,14.89453125,0.0027636054421768708,0.004901960784313724,28
1,62,15.13671875,0.002232142857142857,0.005147058823529412,16
1,63,15.37890625,0.002232142857142857,0.004901960784313725,8
2,0,0.12109375,,,0
2,1,0.36328125,,,0
2,2,0.60546875,0.002717391304347826,0.00784313725490196,4
2,3,0.84765625,,,0
2,4,1.08984375,,,0
2,5,1.33203125,,,0
2,6,1.57421875,0.0006793478260869565,0.009313725490196078,8
2,7,1.81640625,,,0
2,8,2.05859375,0.009510869565217392,0.023529411764705882,4
2,9,2.30078125,,,0
2,10,2.54296875,0.0672554347826087,0.06372549019607843,8
2,11,2.78515625,,,0
2,12,3.02734375,0.14741847826086957,0.11715686274509804,8
2,13,3.26953125,,,0
2,14,3.51171875,0.2536231884057971,0.23235294117647062,12
2,15,3.75390625,0.29483695652173914,0.2838235294117647,8
2,16,3.99609375,,,0
2,17,4.23828125,0.33627717391304346,0.36372549019607847,8
2,18,4.48046875,0.29483695652173914,0.36078431372549025,8
2,19,4.72265625,0.2860054347826087,0.3784313725490196,8
2,20,4.96484375,0.375,0.37941176470588234,4
2,21,5.20703125,0.31453804347826086,0.3593137254901961,8
2,22,5.44921875,0.2004076086956522,0.34019607843137256,8
2,23,5.69140625,0.2578125,0.30808823529411766,16
2,24,5.93359375,0.2139945652173913,0.246078431372549,8
2,25,6.17578125,,,0
2,26,6.41796875,0.16413043478260866,0.18235294117647058,20
2,27,6.66015625,0.1793478260869565,0.16225490196078435,8
2,28,6.90234375,0.14605978260869565,0.1284313725490196,8
2,29,7.14453125,0.08831521739130435,0.10196078431372549,8
2,30,7.38671875,0.10054347826086957,0.09411764705882353,8
2,31,7.62890625,0.15047554347826086,0.11176470588235293,16
2,32,7.87109375,0.08233695652173913,0.07372549019607844,20
2,33,8.11328125,,,0
2,34,8.35546875,0.08016304347826086,0.07058823529411765,8
2,35,8.59765625,0.0722373188405797,0.07598039215686274,24
2,36,8.83984375,0.06080163043478261,0.06764705882352942,16
2,37,9.08203125,0.04574275362318841,0.06013071895424837,12
2,38,9.32421875,0.042119565217391304,0.056372549019607844,8
2,39,9.56640625,0.04053442028985507,0.06454248366013071,24
2,40,9.80859375,0.03804347826086957,0.05955882352941177,16
2,41,10.05078125,0.03091032608695652,0.05,16
2,42,10.29296875,,,0
2,43,10.53515625,0.02581521739130435,0.04061624649859945,28
2,44,10.77734375,0.023777173913043476,0.03774509803921569,16
2,45,11.01953125,0.022418478260869564,0.031127450980392157,16
2,46,11.26171875,0.018342391304347828,0.030882352941176472,8
2,47,11.50390625,0.01596467391304348,0.023161764705882354,32
2,48,11.74609375,0.014266304347826088,0.018872549019607845,16
2,49,11.98828125,0.014402173913043478,0.01823529411764706,20
2,50,12.23046875,0.010869565217391304,0.016911764705882355,16
2,51,12.47265625,0.009510869565217392,0.017156862745098037,16
2,52,12.71484375,0.00996376811594203,0.015359477124183007,24
2,53,12.95703125,0.008831521739130436,0.013970588235294117,16
2,54,13.19921875,0.006114130434782608,0.0125,16
2,55,13.44140625,0.0076086956521739125,0.012352941176470587,20
2,56,13.68359375,0.005944293478260869,0.011274509803921568,32
2,57,13.92578125,0.0033967391304347825,0.010294117647058823,8
2,58,14.16796875,0.004755434782608696,0.010947712418300655,24
2,59,14.41015625,0.004076086956521739,0.009558823529411765,16
2,60,14.65234375,0.003226902173913043,0.009068627450980391,32
2,61,14.89453125,0.0025232919254658385,0.008543417366946778,28
2,62,15.13671875,0.0020380434782608695,0.008333333333333333,16
2,63,15.37890625,0.001358695652173913,0.008333333333333333,8
3,0,0.12109375,,,0
3,1,0.36328125,,,0
3,2,0.60546875,0.0056179775280898875,0.011764705882352941,4
3,3,0.84765625,,,0
3,4,1.08984375,,,0
3,5,1.33203125,,,0
3,6,1.57421875,0.0007022471910112359,0.013725490196078431,8
3,7,1.81640625,,,0
3,8,2.05859375,0.0056179775280898875,0.026470588235294117,4
3,9,2.30078125,,,0
3,10,2.54296875,0.08707865168539325,0.08480392156862746,8
3,11,2.78515625,,,0
3,12,3.02734375,0.14747191011235955,0.1446078431372549,8
3,13,3.26953125,,,0
3,14,3.51171875,0.31039325842696625,0.28006535947712424,12
3,15,3.75390625,0.3398876404494382,0.34068627450980393,8
3,16,3.99609375,,,0
3,17,4.23828125,0.324438202247191,0.4392156862745098,8
3,18,4.48046875,0.3820224719101124,0.4333333333333333,8
3,19,4.72265625,0.34691011235955055,0.4558823529411765,8
3,20,4.96484375,0.3553370786516854,0.45294117647058824,4
3,21,5.20703125,0.3356741573033708,0.4303921568627451,8
3,22,5.44921875,0.22682584269662923,0.40049019607843134,8
3,23,5.69140625,0.269311797752809,0.35465686274509806,16
3,24,5.93359375,0.23314606741573032,0.27450980392156865,8
3,25,6.17578125,,,0
3,26,6.41796875,0.17443820224719103,0.19235294117647062,20
3,27,6.66015625,0.1558988764044944,0.15441176470588236,8
3,28,6.90234375,0.14325842696629212,0.12254901960784313,8
3,29,7.14453125,0.10603932584269662,0.12058823529411765,8
3,30,7.38671875,0.09971910112359551,0.09705882352941178,8
3,31,7.62890625,0.11832865168539326,0.09950980392156863,16
3,32,7.87109375,0.0800561797752809,0.07627450980392156,20
3,33,8.11328125,,,0
3,34,8.35546875,0.0779494382022472,0.07352941176470588,8
3,35,8.59765625,0.07186329588014981,0.07532679738562092,24
3,36,8.83984375,0.06039325842696629,0.0713235294117647,16
3,37,9.08203125,0.05243445692883895,0.06699346405228758,12
3,38,9.32421875,0.04564606741573033,0.06666666666666667,8
3,39,9.56640625,0.04845505617977528,0.0784313725490196,24
3,40,9.80859375,0.03967696629213483,0.06691176470588237,16
3,41,10.05078125,0.03476123595505618,0.06348039215686274,16
3,42,10.29296875,,,0
3,43,10.53515625,0.0268860353130016,0.05392156862745099,28
3,44,10.77734375,0.02457865168539326,0.043137254901960784,16
